Link,University Name,Nickname,Founded,Location,Division,Specialization,Ph.d Granting,Type
No Link,Z H Sikder University of Science & Technology,ZHSUST,2012,Shariatpur,Dhaka Division,Science & Technology,No,Private
http://rstu.edu.bd,Rajshahi Science & Technology University,RSTU,2013,Natore,Rajshahi Division,Science and Technology,No,Private
https://en.m.wikipedia.org#cite_note-123,Coxs Bazar International University,CBIU,2013,Cox's Bazar,Chittagong Division,General,No,Private
http://www.ebaub.edu.bd,Exim Bank Agricultural University Bangladesh,EBAUB,2013,Chapainawabganj,Rajshahi Division,Agricultural,No,Private
http://www.fiu.edu.bd,Fareast International University,FIU,2013,Dhaka,Dhaka Division,General,No,Private
No Link,German University Bangladesh,GUB,2013,Gazipur,Dhaka Division,General,No,Private
http://ndub.edu.bd/,Notre Dame University Bangla,NDUB,2013,Dhaka,Dhaka Division,General,No,Private
No Link,Sheikh Fazilatunnesa Mujib University ,SFMMU,2013,Jamalpur,Mymensingh Division,General,No,Private
No Link,Times University,TMUB,2013,Faridpur,Dhaka Division,General,No,Private
http://www.baiust.edu.bd/,Bangladesh Army International University of Science & Technology,BAIUST,2015,Comilla,Chittagong Division,Science and Technology,No,Private
http://bauet.ac.bd,Bangladesh Army University of Engineering & Technology,BAUET,2015,Natore,Rajshahi Division,Engineering and Technology,No,Private
http://baust.edu.bd,Bangladesh Army University of Science and Technology,BAUST,2015,Saidpur,Rangpur Division,Engineering and Technology,No,Private
No Link,Canadian University of Bangladesh,CUST,2015,Dhaka,Dhaka Division,General,No,Private
http://ccnust.edu.bd,CCN University of Science & Technology,CCNUST,2015,Comilla,Chittagong Division,Science and Technology,No,Private
http://globaluniversity.edu.bd,Global University Bangladesh,GUB,2015,Barisal,Barisal Division,General,No,Private
https://en.m.wikipedia.org/wiki/NPI_University_of_Bangladesh,NPI University of Bangladesh,NPIUB,2015,Manikganj,Dhaka Division,General,No,Private
No Link,Rabindra Maitree University,RMU,2015,Kushtia,Khulna Division,General,No,Private
No Link,The International University of Scholars,TIUS,2015,Dhaka,Dhaka Division,General,No,Private
https://en.m.wikipedia.org/wiki/University_of_Creative_Technology_Chittagong,University of Creative Technology Chittagong,UCTC,2015,Chittagong,Chittagong Division,General,No,Private
No Link,Anwer Khan Modern University ,AKMU,2016,Dhaka,Dhaka Division,General,No,Private
http://cust.edu.bd,Central University of Science and Technology,CUST,2016,Dhaka,Dhaka Division,Science & Technology,No,Private
No Link,University of Global Village ,UIGV,2016,Barisal,Barisal Division,General,No,Private
No Link,Z.N.R.F. University of Management Sciences,ZUMS,2018,Dhaka,Dhaka Division,General,No,Private
http://www.iutoic-dhaka.edu,Islamic University of Technology,IUT,1981,Gazipur,Dhaka Division,Engineering and Technology (Muslim students only),Yes,International
http://asian-university.org,Asian University for Women,AUW,2008,Chittagong,Chittagong Division,(Female students only),No,International
